country_code,permalink,category_list,funding_round_type,raised_amount_usd
NZL,xero,Accounting,venture,16600000.0
NZL,xero,Accounting,venture,49000000.0
GBR,10-minutes-with,Education,venture,4000000.0
GBR,31dover,E-Commerce,venture,2274716.0
GBR,365scores,Android,venture,5500000.0
GBR,365scores,Android,venture,1200000.0
GBR,3sun,Clean Technology,venture,15152514.0
GBR,4th-office,Office Space,venture,3607956.0
GBR,60mo,Accounting,venture,1000000.0
GBR,7digital,Content Creators,venture,8468328.0
GBR,7digital,Content Creators,venture,10000000.0
GBR,90min,Media,venture,15000000.0
GBR,90min,Media,venture,5800000.0
GBR,90min,Media,venture,18000000.0
GBR,abcam,Biotechnology,venture,1800000.0
GBR,abcodia,Biotechnology,venture,8259067.0
GBR,abcodia,Biotechnology,venture,166681.0
GBR,abcodia,Biotechnology,venture,159810.0
GBR,abingdon-health,Health Care,venture,4712831.0
GBR,abingdon-health,Health Care,venture,4768678.0
GBR,abingdon-health,Health Care,venture,3371887.0
GBR,acacia-pharma,Biotechnology,venture,10000000.0
GBR,acacia-pharma,Biotechnology,venture,23500000.0
GBR,acal-energy,Clean Technology,venture,9910333.0
GBR,acal-energy,Clean Technology,venture,4873460.0
GBR,acal-energy,Clean Technology,venture,1640570.0
GBR,acal-enterprise-solutions,Information Technology,venture,10720178.0
GBR,accent-media-ltd,Domains,venture,8300000.0
GBR,accumuli-security,Content,venture,8033458.0
GBR,accunostics,Health Care,venture,6321095.0
GBR,achilles-group,Enterprise Software,venture,2500000.0
GBR,aconite-technology,Software,venture,592000.0
GBR,acs-clothing,E-Commerce,venture,13359377.0
GBR,acs-clothing,E-Commerce,venture,12879637.0
GBR,activiomics,Biotechnology,venture,805000.0
GBR,acunu,Analytics,venture,3415207.0
GBR,ad-iq,Analytics,venture,1529765.0
GBR,ad-iq,Analytics,venture,1180918.0
GBR,ad-iq,Analytics,venture,2629540.0
GBR,ad-iq,Analytics,venture,514798.0
GBR,ad-iq,Analytics,venture,486677.0
GBR,adapt,Enterprise Software,venture,46168126.0
GBR,adaptimmune,Biotechnology,venture,104000000.0
GBR,adaptis-solutions,Software,venture,777729.0
GBR,adbrain,Advertising,venture,7500000.0
GBR,adinsight,Advertising,venture,6772812.0
GBR,adinsight,Advertising,venture,2600000.0
GBR,adizio,Advertising,venture,2000000.0
GBR,adjug,Advertising,venture,2000000.0
GBR,adjug,Advertising,venture,6500000.0
GBR,adpoints,Advertising,venture,1754012.0
GBR,adpoints,Advertising,venture,1520534.0
GBR,adtaily,Advertising,venture,314000.0
GBR,adventi,Consulting,venture,2090000.0
GBR,adventi,Consulting,venture,840000.0
GBR,adwings,Advertising,venture,24997.0
GBR,adyoulike,Advertising,venture,1626000.0
GBR,adzuna,Career Management,venture,1514309.0
GBR,aea-technology,Clean Technology,venture,6500000.0
GBR,aepona,Web Hosting,venture,10000000.0
GBR,aepona,Web Hosting,venture,10000000.0
GBR,aepona,Web Hosting,venture,20000000.0
GBR,ai2-uk,Biotechnology,venture,403000.0
GBR,aihit,Analytics,venture,5500000.0
GBR,air-semiconductor,Gps,venture,10000000.0
GBR,airpos,E-Commerce,venture,231393.0
GBR,airsense-wireless,Mobile,venture,2502038.0
GBR,aixuedai,iPhone,venture,40000000.0
GBR,alai,Software,venture,573000.0
GBR,alaric-systems,Software,venture,3716711.0
GBR,alaric-systems,Software,venture,3485433.0
GBR,alba-communications,Entertainment,venture,442820.0
GBR,albert-medical-devices,Health Care,venture,332260.0
GBR,albert-medical-devices,Health Care,venture,483370.0
GBR,albert-medical-devices,Health Care,venture,1424336.0
GBR,alexandalexa,E-Commerce,venture,2316062.0
GBR,alfresco,Document Management,venture,13000000.0
GBR,alfresco,Document Management,venture,8000000.0
GBR,alfresco,Document Management,venture,2500000.0
GBR,alfresco,Document Management,venture,45000000.0
GBR,all-in-one-medical,Health Care,venture,4545754.0
GBR,allinea-software,Software,venture,643000.0
GBR,almondy,Hospitality,venture,4630887.0
GBR,almondy,Hospitality,venture,5407412.0
GBR,alphamosaic-ltd,Video,venture,12000000.0
GBR,altech-software,Software,venture,441000.0
GBR,amazingtunes,Ediscovery,venture,1569024.0
GBR,amba-defence,Security,venture,430548.0
GBR,ambx,Software,venture,1120000.0
GBR,amee,Carbon,venture,250000.0
GBR,amee,Carbon,venture,2000000.0
GBR,amee,Carbon,venture,5500000.0
GBR,amino-communications,Entertainment,venture,8505908.0
GBR,amirite,Estimation and Quoting,venture,2500000.0
GBR,amplience,Brand Marketing,venture,8000000.0
GBR,amplience,Brand Marketing,venture,10500000.0
GBR,amplience,Brand Marketing,venture,5700000.0
GBR,amplio-group,Finance,venture,22094400.0
GBR,amrit-advanced-biotech,Biotechnology,venture,2394302.0
GBR,amura,Biotechnology,venture,1840000.0
GBR,amuso,Brand Marketing,venture,1500000.0
GBR,anacail,Services,venture,3000000.0
GBR,anadigm,Semiconductors,venture,15000000.0
GBR,analytics-engines,Software,venture,1515251.0
GBR,ancoa-software,Big Data Analytics,venture,6367595.0
GBR,andel,Hardware + Software,venture,1140000.0
GBR,antenna-software,Software,venture,24644493.0
GBR,antenna-software,Software,venture,15000001.0
GBR,antenna-software,Software,venture,6374457.0
GBR,antenova,Hardware + Software,venture,10000000.0
GBR,antenova,Hardware + Software,venture,12000000.0
GBR,antenova,Hardware + Software,venture,6500000.0
GBR,antix-labs,Games,venture,3000000.0
GBR,aomi,Software,venture,7576257.0
GBR,apertio,Mobile,venture,30000000.0
GBR,apitope,Biotechnology,venture,13456610.0
